,Name,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
neon,8754,9662,10312,11200,13085,13375,14413,14632,15234,15752
nni,6761,7421,9926,9924,9926,10712,13612,16403,16816,16943
ntfy,94,157,154,154,154,154,157,159,192,575
nuclei-templates,0,0,0,0,0,0,0,0,0,0
numpy,87795,83390,88101,88175,88175,88257,88257,90349,90483,90505
nupic,100738,100741,100949,100949,101107,101241,100557,100376,100558,100819
objection,1554,1558,1568,1571,2311,2311,2304,2324,2329,2345
OctoPrint,4134,4612,4585,5460,6002,6269,6226,6335,16082,16088
OneForAll,3722,3473,3331,3477,3780,3947,3992,3971,4236,4473
onionshare,1463,1478,1553,1570,1570,1606,2010,2620,2722,3558
OpenNMT-py,5053,5973,6101,6175,6278,6281,6370,6340,5989,6088
openpilot,16400,48015,48651,48990,55117,55960,56959,57253,19477,19637
opensnitch,2551,2796,2870,3436,3534,3506,3706,3739,3942,3977
oppia,19512,22173,22327,22654,23396,23365,22844,23777,23775,24434
optuna,2683,3585,3697,4247,4256,4460,4769,4921,5097,5580
owasp-mstg,0,0,0,0,0,0,0,7,7,7
PaddleHub,3166,4759,4478,5478,5563,5563,5998,6104,8132,9183
PaddleSeg,3667,4018,4473,8734,14860,19557,20800,20921,22081,24564
pandas,100150,103433,111921,112348,116009,122025,126124,126365,127100,128076
paperless-ng,4217,4217,4445,5013,5149,5775,5973,6183,6205,6719
paperless,1840,1840,1843,1849,1868,1906,1991,2059,2113,2155
ParlAI,79936,81237,79552,80612,74872,76324,76329,71767,60521,63227
PathPicker,834,887,942,1317,1433,1469,1492,1522,1524,1613
patroni,3247,3247,4174,4172,4173,4809,5145,6025,6748,9735
peewee,6259,6436,6693,7195,7494,7827,8044,9347,9607,9820
pendulum,3602,3610,3997,4839,4849,5020,5051,5051,5083,5666
persepolis,3603,6267,6272,6285,6287,7246,7244,7260,7939,7913
Photon,308,289,341,365,407,395,407,396,447,380
Pillow,19948,20266,20803,21378,22108,21397,21381,21399,22110,22117
pip-tools,1824,1943,2132,2139,2186,2230,44399,44399,44432,2393
pipx,1194,1190,1275,1846,1887,1892,1895,1914,2004,2011
platformio-core,807,836,923,925,982,1101,1169,1391,1412,1921
playwright-python,9586,11205,11850,12051,12251,12348,12309,12354,12356,12383
plotly.py,6207,6207,6324,10956,12083,12083,111099,111055,115589,115670
poetry,3784,6129,8092,8092,8093,8596,8813,8831,9433,9464
pre-commit,5032,5029,5091,5099,5099,5173,5260,5465,5467,5467
prefect,7055,7984,8735,10939,14062,15041,20196,21447,21761,22148
prophet,632,786,1326,1354,1620,2550,2723,3222,3600,3719
proselint,1600,1505,1505,1505,1505,1541,1630,1744,1744,1744
pwntools,14182,16475,32537,32551,32537,32568,32568,32568,32569,33176
pydub,1405,1630,1710,1720,1728,1758,1834,1834,1834,1878
PyGithub,12821,12962,12998,13002,13052,12994,13452,13452,14214,14631
pyinstaller,20825,17751,18553,9297,9297,9432,6564,5240,5227,5313
pyjwt,511,544,799,801,817,826,850,1033,1314,1314
pylint,33401,33400,33420,31824,31824,32050,31999,31994,31959,30328
pymc,0,5910,2067,9065,8146,8840,8840,8968,8968,8967
pyod,2212,2807,3723,4439,5396,5189,5582,5862,6200,6198
pyodide,2456,2465,2465,2465,2523,2603,2647,2679,2740,2742
PyPDF2,3821,3823,3866,4232,4400,4930,4931,4951,5120,5716
pyright,7,7,7,7,128,179,284,339,392,452
pyro,8616,8519,8548,13853,15089,28017,28864,30722,30821,33410
pyTelegramBotAPI,705,1337,1356,1404,1645,1994,2083,2757,2776,2939
pytesseract,114,101,152,155,170,213,223,234,238,239
pytest,29785,28967,29328,29334,29428,29433,29616,29625,29858,29657
python-for-android,14537,14871,16056,9320,10001,10247,10720,11072,10632,10790
python-telegram-bot,1840,1864,1864,1864,1876,1883,1978,1983,1903,1906
python,46805,47230,47230,51707,50921,51242,51242,51248,61298,51248
pytorch-image-models,4485,4785,4793,6778,8143,8229,9735,10619,11933,11974
pytorch-lightning,2279,2283,2225,2512,3168,3169,3321,3924,5046,7074
pytorch-metric-learning,3147,3219,2992,3197,3241,5056,5060,5318,6014,6039
pytorch3d,8512,9223,13910,16794,19374,24109,26726,28255,28749,36972
pytorch_geometric,2539,2677,3326,4194,5153,5324,7150,8243,8286,8306
pytube,530,529,530,2455,2753,2931,2803,2694,2960,2962
pywal,300,306,302,302,311,306,306,336,333,333
pyWhat,526,526,526,537,632,994,1128,1251,1393,1640
q,2467,2662,2821,2933,2933,2913,2933,3023,3023,2994
